CAFE LATTE ICE,,,,,,,
CAFE LATTE HOT,,,,,,,
KOREAN GARLIC BREAD,,,,,,,
CHOCO LATTE,KLEPON LATTE,,,,,,
LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
MANUAL BREW V60,KOREAN GARLIC BREAD,AVOCADO PRESSO,LYCHEE YAKULT,,,,
KLEPON LATTE,,,,,,,
CAPPUCINO ICE,COOKIES AND CREAM LATTE,,,,,,
CARAMEL MACCHIATO,,,,,,,
REDVELVET LATTE,LYCHEE YAKULT,,,,,,
LONG BLACK ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
CHOCO LATTE,CAFE LATTE ICE,,,,,,
KOREAN GARLIC BREAD,,,,,,,
KOREAN GARLIC BREAD,LUMOS KOPI SUSU SIGNATURE,,,,,,
BROWN SUGAR BOBA MILK TEA,HONEY CITRON TEA,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL MACCHIATO,,,,,,,
CARAMEL MACCHIATO,,,,,,,
CAFE LATTE HOT,CAPPUCINO ICE,CAFE LATTE ICE,,,,,
LEKKER HOLAND,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
KOREAN GARLIC BREAD,CHOCO LATTE,,,,,,
CARAMEL MACCHIATO,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LEKKER HOLAND,,,,,,,
LYCHEE TEA,GREENTEA MATCHA LATTE,THAI TEA,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,LYCHEE YAKULT,HAZELNUT LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,
LEKKER HOLAND,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,AVOCADO PRESSO,,,,,,
KOREAN GARLIC BREAD,,,,,,,
CAPPUCINO ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
